radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,636,1,20024,36925,0,38.477554321289,7.0374298095703,1000,1,1,1431572733,1431572733,0
GSM,636,1,20024,36001,0,38.466567993164,7.0497894287109,1000,1,1,1431895966,1431895966,0
GSM,636,1,20024,36005,0,38.476181030273,7.0539093017578,1000,1,1,1431557188,1431557188,0
GSM,636,1,20029,31022,0,39.120254516602,7.9383087158203,1000,1,1,1432011656,1432011656,0
GSM,636,1,20031,16171,0,37.760696411133,6.8630218505859,1000,1,1,1436430695,1436430695,0
GSM,636,1,20026,16130,0,37.554702758789,6.0088348388672,1000,1,1,1429599040,1429599040,0
GSM,636,1,20026,26130,0,37.550582885742,6.0143280029297,1000,1,1,1432819807,1432819807,0
GSM,636,1,20024,36529,0,38.499526977539,7.0511627197266,1000,1,1,1431572733,1431572733,0
GSM,636,1,20029,31068,0,39.120254516602,7.9369354248047,1000,1,1,1431749823,1431749823,0
GSM,636,1,20026,26488,0,37.556076049805,6.0417938232422,1000,1,1,1433315496,1433315496,0
GSM,636,1,20031,36110,0,37.757949829102,6.8479156494141,1000,1,1,1436430695,1436430695,0
GSM,636,1,20045,11601,0,38.715133666992,7.9245758056641,1000,1,1,1438853046,1438853046,0
GSM,636,1,20039,16052,0,39.581680297852,5.3318023681641,1000,1,1,1436755164,1436755164,0
GSM,636,1,20031,36111,0,37.751083374023,6.8300628662109,1000,1,1,1428692486,1428692486,0
GSM,636,1,20037,15142,0,34.599380493164,8.2500457763672,1000,1,1,1433834028,1433834028,0
GSM,636,1,20037,15139,0,34.59114074707,8.2541656494141,1000,1,1,1436926345,1436926345,0
GSM,636,1,20039,16051,0,39.570693969727,5.3318023681641,1000,1,1,1436422563,1436422563,0
GSM,636,1,20034,19149,0,33.680648803711,8.3008575439453,1000,1,1,1426037173,1426037173,0
GSM,636,1,20039,26056,0,39.581680297852,5.3331756591797,1000,1,1,1435370342,1435370342,0
GSM,636,1,20037,25142,0,34.602127075195,8.2445526123047,1000,1,1,1433834057,1433834057,0
GSM,636,1,20039,36052,0,39.581680297852,5.3318023681641,1000,1,1,1436755164,1436755164,0
GSM,636,1,20049,26163,0,38.213882446289,5.6380462646484,1000,1,1,1439792528,1439792528,0
GSM,636,1,20058,21279,0,38.359451293945,7.2969818115234,1000,1,1,1432819807,1432819807,0
